Date,Year,Month,MonthName,Quarter,Season,YearMonth,DayOfYear,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainToday_Flag,RainTomorrow_Flag,WindGust_Placeholder,Cloud_Placeholder,Temp3pm_BelowMin,IsRainDay,MeanTemp,TempRange,TempChange_9to3,HumidityDrop_9to3,PressureChange_9to3,AvgWindSpeed,RainCategory,HeatCategory,GustCategory,MaxTemp_Z,MinTemp_Z,Humidity3pm_Z,WindGustSpeed_Z,Pressure9am_Z,AnomalyType,IsAnomaly
2008-02-01,2008,2,Feb,1,Summer,2008-02,32,19.5,22.4,15.6,6.2,0.0,,,S,SSW,17,20,92,84,1017.6,1017.4,8.0,8.0,20.7,20.9,Yes,Yes,1,1,1,0,0,1,20.95,2.9,0.2,8,-0.2,18.5,Moderate (10-25),Warm (20-30),,-1.41,-0.33,1.83,,0.36,,0
2008-02-02,2008,2,Feb,1,Summer,2008-02,33,19.5,25.6,6.0,3.4,2.7,,,W,E,9,13,83,73,1017.9,1016.4,7.0,7.0,22.4,24.8,Yes,Yes,1,1,1,0,0,1,22.55,6.1,2.4,10,-1.5,11.0,Light (1-10),Warm (20-30),,-0.4,-0.33,0.96,,0.42,,0
2008-02-03,2008,2,Feb,1,Summer,2008-02,34,21.6,24.5,6.6,2.4,0.1,,,ESE,ESE,17,2,88,86,1016.7,1015.6,7.0,8.0,23.5,23.0,Yes,Yes,1,1,1,0,0,1,23.05,2.9,-0.5,2,-1.1,9.5,Light (1-10),Warm (20-30),,-0.75,0.67,1.99,,0.2,,0
2008-02-04,2008,2,Feb,1,Summer,2008-02,35,20.2,22.8,18.8,2.2,0.0,,,NNE,E,22,20,83,90,1014.2,1011.8,8.0,8.0,21.4,20.9,Yes,Yes,1,1,1,0,0,1,21.5,2.6,-0.5,-7,-2.4,21.0,Moderate (10-25),Warm (20-30),,-1.28,0.01,2.31,,-0.24,,0
2008-02-05,2008,2,Feb,1,Summer,2008-02,36,19.7,25.7,77.4,4.8,0.0,,,NNE,W,11,6,88,74,1008.3,1004.8,8.0,8.0,22.5,25.5,Yes,Yes,1,1,1,0,0,1,22.7,6.0,3.0,14,-3.5,8.5,Very heavy (>50),Warm (20-30),,-0.37,-0.23,1.04,,-1.29,Extreme rain,1
2008-02-06,2008,2,Feb,1,Summer,2008-02,37,20.2,27.2,1.6,2.6,8.6,,,W,ENE,9,22,69,62,1002.7,998.6,6.0,6.0,23.8,26.0,Yes,Yes,1,1,1,0,0,1,23.7,7.0,2.2,7,-4.1,15.5,Light (1-10),Warm (20-30),,0.1,0.01,0.09,,-2.28,,0
2008-02-07,2008,2,Feb,1,Summer,2008-02,38,18.6,26.3,6.2,5.2,5.2,,,W,S,15,15,75,80,999.0,1000.3,4.0,7.0,21.7,22.3,Yes,Yes,1,1,1,0,0,1,22.45,7.7,0.6,-5,1.3,15.0,Light (1-10),Warm (20-30),,-0.18,-0.76,1.52,,-2.94,,0
2008-02-08,2008,2,Feb,1,Summer,2008-02,39,17.2,22.3,27.6,5.8,2.1,,,S,SE,7,15,77,61,1008.3,1007.4,7.0,8.0,18.9,21.1,Yes,Yes,1,1,1,0,0,1,19.75,5.1,2.2,16,-0.9,11.0,Heavy (25-50),Warm (20-30),,-1.44,-1.42,0.01,,-1.29,,0
2008-02-09,2008,2,Feb,1,Summer,2008-02,40,16.4,20.8,12.6,4.8,3.0,,,SSW,W,19,9,92,91,1006.4,1007.6,7.0,7.0,17.1,16.5,Yes,Yes,1,1,1,0,0,1,18.6,4.4,-0.6,1,1.2,14.0,Moderate (10-25),Warm (20-30),,-1.91,-1.8,2.38,,-1.62,,0
2008-02-10,2008,2,Feb,1,Summer,2008-02,41,14.6,24.2,8.8,4.4,10.1,,,W,SSE,11,20,80,53,1014.0,1013.4,4.0,2.0,17.2,23.3,Yes,No,1,0,1,0,0,1,19.4,9.6,6.1,27,-0.6,15.5,Light (1-10),Warm (20-30),,-0.84,-2.66,-0.62,,-0.28,,0
2008-02-11,2008,2,Feb,1,Summer,2008-02,42,16.4,23.9,0.0,6.4,8.0,,,WNW,E,9,26,78,53,1017.6,1015.3,7.0,8.0,18.9,23.7,No,No,0,0,1,0,0,0,20.15,7.5,4.8,25,-2.3,17.5,Dry (<=1 mm),Warm (20-30),,-0.94,-1.8,-0.62,,0.36,,0
2008-02-12,2008,2,Feb,1,Summer,2008-02,43,18.9,27.3,0.0,6.8,6.7,,,N,NE,7,24,68,67,1010.7,1007.5,7.0,7.0,22.9,24.7,No,Yes,0,1,1,0,0,0,23.1,8.4,1.8,1,-3.2,15.5,Dry (<=1 mm),Warm (20-30),,0.13,-0.61,0.49,,-0.86,,0
2008-02-13,2008,2,Feb,1,Summer,2008-02,44,18.4,22.8,14.4,7.0,3.3,,,S,S,24,30,87,70,1009.2,1011.7,8.0,7.0,20.9,21.0,Yes,Yes,1,1,1,0,0,1,20.6,4.4,0.1,17,2.5,27.0,Moderate (10-25),Warm (20-30),,-1.28,-0.85,0.73,,-1.13,,0
2008-02-14,2008,2,Feb,1,Summer,2008-02,45,16.9,24.3,3.0,3.2,8.7,,,SSW,SSE,15,19,81,51,1017.2,1016.5,7.0,1.0,18.4,23.3,Yes,No,1,0,1,0,0,1,20.6,7.4,4.9,30,-0.7,17.0,Light (1-10),Warm (20-30),,-0.81,-1.57,-0.78,,0.29,,0
2008-02-15,2008,2,Feb,1,Summer,2008-02,46,18.3,24.4,0.0,6.2,8.5,,,SW,SSE,19,22,80,56,1020.2,1018.9,7.0,3.0,19.5,23.8,No,No,0,0,1,0,0,0,21.35,6.1,4.3,24,-1.3,20.5,Dry (<=1 mm),Warm (20-30),,-0.78,-0.9,-0.38,,0.82,,0
2008-02-16,2008,2,Feb,1,Summer,2008-02,47,16.7,24.1,0.0,6.2,8.8,,,WNW,SSE,11,26,77,52,1023.0,1022.6,7.0,6.0,19.8,23.3,No,No,0,0,1,0,0,0,20.4,7.4,3.5,25,-0.4,18.5,Dry (<=1 mm),Warm (20-30),,-0.87,-1.66,-0.7,,1.32,,0
2008-02-17,2008,2,Feb,1,Summer,2008-02,48,19.5,24.8,0.0,7.6,3.2,,,SE,ESE,13,24,63,62,1024.7,1023.1,7.0,7.0,21.8,23.4,No,No,0,0,1,0,0,0,22.15,5.3,1.6,1,-1.6,18.5,Dry (<=1 mm),Warm (20-30),,-0.65,-0.33,0.09,,1.62,,0
2008-02-18,2008,2,Feb,1,Summer,2008-02,49,18.6,25.3,0.0,4.2,4.5,,,SSE,ENE,13,24,70,59,1021.7,1019.4,7.0,6.0,21.2,23.8,No,No,0,0,1,0,0,0,21.95,6.7,2.6,11,-2.3,18.5,Dry (<=1 mm),Warm (20-30),,-0.5,-0.76,-0.14,,1.09,,0
2008-02-19,2008,2,Feb,1,Summer,2008-02,50,19.0,24.8,0.0,5.2,7.5,,,WNW,E,7,17,79,65,1018.0,1015.4,7.0,7.0,20.8,23.4,No,No,0,0,1,0,0,0,21.9,5.8,2.6,14,-2.6,12.0,Dry (<=1 mm),Warm (20-30),,-0.65,-0.57,0.33,,0.43,,0
2008-02-20,2008,2,Feb,1,Summer,2008-02,51,18.3,26.4,0.0,4.6,11.1,,,W,E,13,22,80,60,1013.4,1010.8,3.0,1.0,21.3,25.2,No,No,0,0,1,0,0,0,22.35,8.1,3.9,20,-2.6,17.5,Dry (<=1 mm),Warm (20-30),,-0.15,-0.9,-0.06,,-0.38,,0
